1387197118	2013-12-16T13:31:58.549865	22.75	22.88	23.00	0.00	22.62	22.94	22.94	100554	100470	100520	0	100598	100470	100482	1.00588

1387213198	2013-12-16T17:59:58.843222	22.19	22.25	22.38	22.25	22.12	22.38	23.81	24306	24210	24126	24200	24204	23954	100508	0.24348	0.24216	

1387213265	2013-12-16T18:01:05.066064	22.19	22.25	22.38	22.25	22.12	22.38	23.81	22262	22198	22102	22186	22178	21910	100506	0.22328	0.22184	

1387213283	2013-12-16T18:01:23.085758	22.25	22.25	22.38	22.25	22.12	22.38	23.75	21374	21282	21228	21288	21284	21000	100504	0.21424	0.21316	

1387213299	2013-12-16T18:01:39.211413	22.25	22.25	22.38	22.25	22.12	22.38	23.75	20872	20798	20718	20754	20770	21502	100504	0.20888	0.20784	

1387213353	2013-12-16T18:02:33.656058	22.25	22.25	22.38	22.25	22.12	22.44	23.75	19294	19222	19150	19192	19204	18940	100510	0.19325	0.19207	

1387213416	2013-12-16T18:03:36.015544	22.25	22.25	22.44	22.25	22.19	22.44	23.75	17700	17626	17580	17634	17616	17360	100504	0.17745	0.17642	

1387213469	2013-12-16T18:04:29.560315	22.25	22.31	22.44	22.25	22.19	22.44	23.75	16526	16420	16386	16444	16418	16174	100514	0.16540	0.16448	

1387213528	2013-12-16T18:05:28.601657	22.25	22.31	22.44	22.31	22.19	22.44	23.69	15314	15244	15184	15240	15218	14970	100512	0.15330	0.15265	

1387213595	2013-12-16T18:06:35.198942	22.31	22.31	22.44	22.31	22.19	22.50	23.69	14156	14088	14050	14076	14076	13808	100516	0.14172	0.14112	

1387213661	2013-12-16T18:07:41.820751	22.31	22.38	22.50	22.31	22.25	22.50	23.62	13128	13074	13002	13050	13042	12744	100514	0.13121	0.13083	

1387213740	2013-12-16T18:09:00.823068	22.31	22.38	22.50	22.38	22.25	22.50	23.62	12070	11992	11954	11988	11986	11688	100514	0.12048	0.12005	

1387214333	2013-12-16T18:18:53.929773	23.31	23.38	23.50	23.44	23.19	23.44	23.50	100540	100510	100546	100562	100600	100488	100514	1.00609	1.00606	

